topic_id,rank,word,weight
50,9,xie xie,0.2289132502241081
50,10,peking,0.21884177965297283
51,1,covid19,0.518706158531151
51,2,pandemic,0.4824529289400273
51,3,covid,0.42818506688211483
51,4,covid 19,0.37480398384793034
51,5,19,0.3664102958600897
51,6,quarantine,0.34729527798202503
51,7,covid19 pandemic,0.29749429515094367
51,8,pandemics,0.29246845913099817
51,9,virus,0.2869316136789023
51,10,epidemics,0.26348848559033367
52,1,course loved,0.3110151301235874
52,2,enjoying course,0.2848694446468258
52,3,course enjoyed,0.2553520281742274
52,4,enjoying,0.24224297144241191
52,5,loved course,0.23645311144995404
52,6,fun course,0.2142362142917035
52,7,experience course,0.2056503086244346
52,8,love course,0.20365828299774233
52,9,course amazing,0.20347702401884862
52,10,loved,0.1994412619295963
53,1,medical,0.40733863422175626
53,2,clinical,0.3742355432738409
53,3,public health,0.3399084824142341
53,4,health,0.330075300283515
53,5,clinical research,0.325490469985027
53,6,healthcare,0.29444944229780423
53,7,global health,0.2812889179188233
53,8,public,0.27910757804032854
53,9,health care,0.22960423213792105
53,10,medical research,0.2260696182398142
54,1,punctuation,0.6041723690756551
54,2,grammar,0.5982620414470807
54,3,grammar punctuation,0.5009259364336424
54,4,tenses,0.412509380670811
54,5,english grammar,0.3985963044431871
54,6,sentences,0.3209516504103443
54,7,sentence,0.2985765448737792
54,8,rules,0.2790210700889194
54,9,grammar course,0.27018148464456915
54,10,grammar rules,0.26087782192315506
55,1,music,0.6013563068363901
55,2,guitar,0.39287991449478626
55,3,classical,0.38776184865910734
55,4,music theory,0.326571640585091
55,5,wright,0.3211756448952222
55,6,yoga,0.31137745159927993
55,7,berklee,0.2778926203608481
55,8,production,0.2589978132769291
55,9,professor wright,0.24582394121905854
55,10,musician,0.24003407837077445
56,1,good beginners,0.3926952706242282
56,2,beginner good,0.3808894063439967
56,3,good beginner,0.3748363338304943
56,4,beginners good,0.3542436815518254
56,5,beginners easy,0.3410138580241799
56,6,beginners,0.34079285252833597
56,7,beginner,0.3404615285552468
56,8,useful beginners,0.32096038928773807
56,9,great beginners,0.3112006600269234
56,10,beginner easy,0.2900828976187697
57,1,matlab,0.6018468750874156
57,2,matlab programming,0.32868679725965577
57,3,programming matlab,0.32268471005820687
57,4,matlab course,0.3129990233778523
57,5,course matlab,0.2965778982387762
57,6,fitzpatrick,0.2545996983809801
57,7,mike,0.24613610545050774
57,8,knowledge matlab,0.23772492284639365
57,9,using matlab,0.23265061056612862
57,10,mike fitzpatrick,0.21042824862820197
58,1,good content,0.3724122240552466
58,2,great content,0.35400786876379936
58,3,excellent content,0.33918861243194304
58,4,organized,0.3022306859972139
58,5,content explained,0.28525277838792346
58,6,content easy,0.26609530901184103
58,7,content,0.2566571891066688
58,8,content clear,0.25067366277949854
58,9,content good,0.24948638827774375
58,10,content really,0.22451075060369668
59,1,informative informative,0.3302911709013382
59,2,information informative,0.3286293069068929
59,3,informative,0.28669937464074124
59,4,good information,0.26860125782826166
59,5,informative explained,0.2679985670337386
59,6,recommend informative,0.2637166032585489
59,7,informative easy,0.2618448325371065
59,8,great information,0.2611786367548165
59,9,understand informative,0.25893769942385725
59,10,informative interesting,0.25749119542564597
60,1,law,0.6282803775278464
60,2,american law,0.4488864311772573
60,3,american,0.4095485870654837
60,4,legal,0.4014964037298496
60,5,criminal,0.35065833276083874
60,6,international,0.3434890058146538
60,7,eu,0.29721872316462417
60,8,law course,0.2930488471605965
60,9,courts,0.27054685531865635
60,10,law student,0.2645546008176266
61,1,improve learning,0.1802004376193642
61,2,techniques,0.16513593099989257
61,3,learning process,0.1551784555528037
61,4,better learner,0.15298230668737225
61,5,effectively,0.1494413236351695
61,6,learn effectively,0.14376147598448188
61,7,learner,0.1394884396109903
61,8,studying,0.13606842765712931
61,9,learn better,0.13390777606341342
61,10,age,0.1317763971353795
62,1,computers,0.42063776799864183
62,2,computer,0.4070337365912692
62,3,hardware,0.3305418584927026
62,4,computer science,0.30872025606350656
62,5,computer works,0.26950486150869407
62,6,computer architecture,0.2572236707109921
62,7,computers work,0.25286954403142753
62,8,cpu,0.2283559510930977
62,9,computer hardware,0.2170255199667767
62,10,hardware software,0.21545234381072587
63,1,lot great,0.42638215307032784
63,2,course learned,0.4214630653267319
63,3,course learnt,0.3631271843626502
63,4,lot excellent,0.3522245976512972
63,5,lot awesome,0.3354497298843847
63,6,lot good,0.30210266166848027
63,7,lot amazing,0.2795372658617965
63,8,learned lot,0.2695251288701841
63,9,learnt lot,0.2523704044995664
63,10,lot nice,0.25092923966082853
64,1,indigenous,0.5946229822976087
64,2,canada,0.49306526457706823
64,3,canadian,0.4118191679830951
64,4,stem,0.3710905551755664
64,5,peoples,0.35240365962025394
64,6,history,0.3229138168531069
64,7,cells,0.31073072101069754
64,8,culture,0.2781868518270487
64,9,nations,0.2665167740904259
64,10,cell,0.2392865652489656
65,1,algorithms,0.37558414829095804
65,2,algorithm,0.3412418115029337
65,3,algorithmic,0.29000781123235425
65,4,algorithms course,0.2375920977623964
65,5,course algorithms,0.18919477078423758
65,6,greedy,0.1829983813067329
65,7,algorithms great,0.1816939883912552
65,8,dynamic programming,0.17997155348073343
65,9,algorithms good,0.17564923545348507
65,10,learn algorithms,0.1738422370831206
66,1,challenging course,0.43545700672985616
66,2,course challenging,0.4040629196672159
66,3,challenging,0.3345333019491036
66,4,challenging rewarding,0.23416458500880832
66,5,course difficult,0.2198531383360528
66,6,challenge,0.21637319197053492
66,7,rewarding course,0.21637210384854624
66,8,rewarding,0.21399032769699455
66,9,interesting challenging,0.2125080097042937
66,10,challenging interesting,0.2077936278167746
67,1,learning experience,0.3740270221282594
67,2,experience learned,0.33793173834890444
67,3,great learning,0.3345290354582631
67,4,experience great,0.31483512585022394
67,5,experience learning,0.30798879802054746
67,6,experience learnt,0.3053544628667722
67,7,great experience,0.30518793905593034
67,8,experience learn,0.30407294730232776
67,9,good experience,0.2944840971093667
67,10,experience good,0.24753123535652352
68,1,linux,0.5852820005360019
68,2,windows,0.4543992191692588
68,3,operating,0.3814690775863309
68,4,powershell,0.3559245726101523
68,5,os,0.3558512786091074
68,6,windows linux,0.34164371341898575
68,7,commands,0.3416376801462285
68,8,command,0.32568744247928033
68,9,operating systems,0.3246328043256314
68,10,vm,0.3223931460944165
69,1,sql,0.6528283325601668
69,2,course sql,0.3005444352551737
69,3,knowledge sql,0.29520624275315915
69,4,queries,0.29362680718215994
69,5,learning sql,0.28788422642568484
69,6,sql queries,0.2235699595121595
69,7,query,0.2186593463824671
69,8,database,0.2011927343208168
69,9,sadie,0.19619194899282333
69,10,joins,0.17432112121690202
70,1,photography,0.6627529123587385
70,2,photographers,0.37675603696495535
70,3,photographs,0.3625748305381586
70,4,camera,0.3489001205471896
