topic_a,topic_b,n_a,n_b,U,p_uncorrected,rank_biserial_r
0,140,11452,451,2685739.5,0.14892325878918072,-0.04
0,141,11452,450,3987008.0,1.3011267867435607e-86,-0.5473
0,142,11452,447,3538534.5,5.7865601496365294e-43,-0.3825
0,143,11452,436,2596786.5,0.154058977742442,-0.0402
0,144,11452,434,3236935.5,8.635960366499853e-27,-0.3025
0,145,11452,434,2818062.0,2.0797082890194852e-06,-0.134
0,146,11452,427,3194106.5,4.960972251266259e-27,-0.3064
0,147,11452,424,2206778.0,0.0014298064308598776,0.091
0,148,11452,423,2109267.5,6.240547426029401e-06,0.1292
0,149,11452,407,3960992.0,1.5854227497565355e-127,-0.6996
0,150,11452,404,2906872.0,1.6502537473869595e-18,-0.2566
0,151,11452,401,4205780.0,7.674294470776996e-177,-0.8317
0,152,11452,398,1396641.5,1.685191958017588e-39,0.3872
0,153,11452,383,2573205.0,7.487066507796395e-09,-0.1733
0,154,11452,382,1847295.5,2.2575766562833894e-07,0.1555
0,155,11452,381,2443286.0,6.628217420454909e-05,-0.1199
0,156,11452,378,2085710.0,0.2282273144935565,0.0364
0,157,11452,367,2774946.5,1.2165025300176463e-25,-0.3205
0,158,11452,366,2341457.5,0.00013093469813447282,-0.1173
0,159,11452,361,2522208.5,9.757947082803818e-13,-0.2202
0,160,11452,360,2011064.0,0.4298244961994503,0.0244
0,161,11452,358,2035305.5,0.8181947779963625,0.0071
0,162,11452,356,2321155.5,8.075885241285701e-06,-0.1387
0,163,11452,355,1832633.0,0.0015580920365704549,0.0984
0,164,11452,352,2184307.5,0.007366629221483751,-0.0837
0,165,11452,352,1919583.5,0.12752000835995342,0.0476
0,166,11452,349,2459704.5,1.8641716448610243e-13,-0.2309
0,167,11452,346,2001075.0,0.7501260027106228,-0.01
0,168,11452,344,2570683.0,4.618343586688288e-22,-0.3051
0,169,11452,344,2275631.0,8.867102303843027e-07,-0.1553
0,170,11452,341,3045706.0,1.114834788085855e-69,-0.5598
0,171,11452,340,2250397.0,9.236382143426607e-07,-0.1559
0,172,11452,339,2265610.5,1.490691531565814e-07,-0.1672
0,173,11452,327,2055456.0,0.002535036772691866,-0.0978
0,174,11452,322,2352549.0,2.719597733337616e-17,-0.2759
0,175,11452,320,2150888.5,1.0788041508995978e-07,-0.1739
0,176,11452,319,1920020.0,0.11861533938299393,-0.0511
