topic_id,n,mean,median,median_ci_lo,median_ci_hi,std
176,319,0.10079535169898807,0.000496983528137207,0.0003800392150878906,0.0007324814796447754,0.20449064807559
178,319,0.08093796955362446,0.0004819631576538086,0.0003770589828491211,0.0005795955657958984,0.19189091401257236
2,7024,0.10302667351650656,0.0004786252975463867,0.00044708698987960815,0.0005095383385196328,0.20975653950165266
29,1636,0.09995744447101093,0.00047725439071655273,0.0004313468933105469,0.000535428524017334,0.23651770094658484
127,504,0.08876626587493414,0.00047653913497924805,0.0003973335027694702,0.0005891323089599609,0.18705979588592275
13,3226,0.09978982843196303,0.0004730224609375,0.00042706727981567383,0.0005375787615776062,0.19743428192706988
164,352,0.08173903112277582,0.0004725456237792969,0.000370025634765625,0.0006314054131507874,0.2164026196957834
173,327,0.09401248748725194,0.0004698038101196289,0.00038790851831436155,0.000661313533782959,0.2225593169886441
91,707,0.10277068258890612,0.00046622753143310547,0.0003561973571777344,0.0005635619163513184,0.18861505166402343
50,1197,0.11022151696732335,0.0004646778106689453,0.00039273500442504883,0.000549428966769483,0.2383835062318687
139,452,0.09650681424128515,0.00046312808990478516,0.00036263465881347656,0.0006342619657516477,0.20045709113874474
62,1005,0.08051869716971362,0.0004628896713256836,0.00039762258529663086,0.00054665207862854,0.20762132163750482
134,475,0.06976937456087111,0.0004590749740600586,0.00038939714431762695,0.0005415707826614378,0.20561915333554173
135,472,0.08486390256013877,0.0004475712776184082,0.0003606885671615601,0.00060272216796875,0.1681685953175789
21,2144,0.09216940988513236,0.0004470944404602051,0.00040203332901000977,0.0005011215806007385,0.19482467194359113
40,1319,0.07404113940516982,0.00042814016342163086,0.0003446340560913086,0.0005276799201965332,0.19797269556041794
180,314,0.1046402090032875,0.0004171133041381836,0.0003287792205810547,0.0005187392234802246,0.2256911469857693
86,775,0.08820789268463775,0.0004157423973083496,0.0003443777561187744,0.0005086839199066161,0.1843780343587346
133,475,0.0987794033370569,0.0004113316535949707,0.00031802356243133546,0.0005848407745361328,0.18993102503105394
60,1034,0.07898209688656876,0.0004107356071472168,0.00035065412521362305,0.00048732757568359375,0.18683922863773444
43,1310,0.08732219624287761,0.00040733814239501953,0.00035353749990463257,0.0004744574427604674,0.193446832245222
8,4259,0.06454142216387558,0.00040477514266967773,0.00038123130798339844,0.0004284977912902832,0.17626796524516652
53,1163,0.0839263744172571,0.0004032254219055176,0.0003437995910644531,0.00047457218170166016,0.19223064818517888
113,589,0.08616504392729252,0.00039893388748168945,0.0003453493118286133,0.0005034208297729492,0.18297826847575416
216,266,0.08443655016638611,0.00039374828338623047,0.00031876564025878906,0.0005176067352294922,0.18728091654418455
41,1314,0.077051683443069,0.00038880109786987305,0.00034248828887939453,0.000454934686422348,0.17019605567711632
162,356,0.0724881883858431,0.0003885626792907715,0.00033485889434814453,0.00042904168367385864,0.1756310783237858
223,252,0.06488614581850549,0.00038555264472961426,0.00034165382385253906,0.0005175769329071045,0.16159960083399738
89,744,0.07615704454503665,0.0003840327262878418,0.0003533363342285156,0.0004513263702392578,0.17708816090863877
248,201,0.10286869151167055,0.0003838539123535156,0.0003033876419067383,0.0006185770034790039,0.20941356371042158
